region,site,date,ph,do,bod,cod,ss,tn,tp,temp,ec,t.coli,nh3,no3,po4,f.coli,landuse
광주_황룡강합류전,광주천2,2001-03-05,6.9,10.9,3.4,7.2,3.6,8.443,0.394,7,335,14000,0.286,7.739,0.272,6000,Agriculture
광주_황룡강합류전,광주천2,2001-06-12,7.8,9.8,17.3,15.1,31.5,10.081,3.132,28,600,6200,7.955,8.067,1.67,2900,Agriculture
광주_황룡강합류전,광주천2,2001-09-03,9.1,15.6,16.1,11.8,19.5,4.223,0.684,30,320,2400,0.025,1.644,0.524,80,Agriculture
광주_황룡강합류전,광주천2,2001-12-03,7.5,9.2,14.7,7.6,22,8.886,0.298,12,550,1300,2.123,3.543,0.261,660,Agriculture
광주_황룡강합류전,광주천2,2002-03-04,9,15.5,9.2,5.7,26,5.215,0.042,13,290,9500,1.724,2.144,0.038,480,Agriculture
광주_황룡강합류전,광주천2,2002-06-05,8.1,10.1,10,4.9,19.5,6.822,0.262,22,270,68000,0.921,5.943,0.219,6600,Agriculture
광주_황룡강합류전,광주천2,2002-09-09,7.4,4.4,11.5,6.3,18.4,6.456,0.332,27,390,7500,0.583,5.227,0.151,2400,Agriculture
광주_황룡강합류전,광주천2,2002-12-09,8,11,10.7,10.9,22.4,7.044,0.255,6,390,36000,1.984,2.096,0.221,18000,Agriculture
광주_황룡강합류전,광주천2,2003-03-12,6.9,9.3,3.9,7.4,6,3.477,0.153,10,209,1600,0.641,2.05,0.1,6200,Agriculture
광주_황룡강합류전,광주천2,2003-05-07,7.8,5.3,16,15.3,17.6,6.396,0.392,20,680,3000,1.068,4.681,0,2000,Agriculture
광주_황룡강합류전,광주천2,2003-06-04,8.1,8.4,3.9,8.7,9.6,7.398,0.158,24,276,4600,1.784,4.524,0.113,2000,Agriculture
광주_황룡강합류전,광주천2,2003-09-01,7.2,5.7,5,4.8,5,3.252,0.391,25,265,6600,0.714,2.461,0.205,2400,Agriculture
광주_황룡강합류전,광주천2,2003-10-07,8,6.2,4.7,6,14.5,7.782,0.532,20,496,12000,0.828,3.316,0.205,2800,Agriculture
광주_황룡강합류전,광주천2,2003-11-03,8.9,13.8,6.4,5.8,25.3,8.694,0.538,18,401,15000,0.278,0.89,0.205,3400,Agriculture
광주_황룡강합류전,광주천2,2003-12-03,8.6,13.2,6.7,7.7,10.8,8.97,0.41,13,491,6800,1.502,2.145,0.331,2700,Agriculture
광주_황룡강합류전,광주천2,2004-03-02,7.2,11.2,3.2,3.9,9.6,5.244,1.049,7,343,10000,1,3.336,0.169,3800,Agriculture
광주_황룡강합류전,광주천2,2004-03-18,6.9,10,10.4,9.6,16,15.9,1.063,6.5,509,6000,5.284,2.934,0.781,2500,Agriculture
광주_황룡강합류전,광주천2,2004-04-09,9.2,7.8,19.7,8.7,24.4,11.148,0.336,18,426,5000,0.008,1.022,0.27,1300,Agriculture
광주_황룡강합류전,광주천2,2004-04-17,9.4,10,11.2,8.5,27.3,5.544,0.365,8,423,7000,0.437,2.339,0.302,1000,Agriculture
광주_황룡강합류전,광주천2,2004-05-12,8.1,8.7,18.9,5.6,23.3,14.316,1.075,20.3,218,12000,0.1,5.423,0.321,8300,Agriculture
광주_황룡강합류전,광주천2,2004-06-02,6.4,8.2,7.4,7.5,16.7,6.12,0.49,27,322,14000,0.17,0.996,0.387,2800,Agriculture
광주_황룡강합류전,광주천2,2004-07-01,9,15.5,17.4,8.2,36.4,4.08,0.371,29.5,327,3200,0.156,0.789,0.326,800,Agriculture
광주_황룡강합류전,광주천2,2004-07-30,7.4,2.9,13.7,6.8,62.4,5.19,0.612,34,249,4800,0.187,4.885,0.569,3000,Agriculture
광주_황룡강합류전,광주천2,2004-09-02,7.5,3,16.5,7,22.4,5.208,0.493,26.5,522,2200,1.5,0.381,0.473,900,Agriculture
광주_황룡강합류전,광주천2,2004-10-11,7.5,8.6,13.8,7,14,16.908,1.634,21.5,568,14000,3.335,9.351,1.128,6400,Agriculture
광주_황룡강합류전,광주천2,2004-10-27,7.4,7.7,6,6.1,5.2,9.18,0.682,18,522,4600,1.03,6.723,0.556,3000,Agriculture
광주_황룡강합류전,광주천2,2004-12-14,7.7,7.9,6.6,6.6,1.2,20.556,0.102,12,487,4600,0.033,1.429,0.556,3000,Agriculture
광주_황룡강합류전,광주천2,2005-01-25,7.8,13.4,6.6,8.3,6.4,15.396,1.163,6.6,503,3800,3.85,3.845,0.402,1100,Agriculture
광주_황룡강합류전,광주천2,2005-02-03,7.5,14.4,9.1,8,1.6,16.248,0.546,4,557,5400,0.028,4.309,0.7,2500,Agriculture
광주_황룡강합류전,광주천2,2005-03-14,8.2,13.3,10.9,9.1,4.4,9.144,0.622,9,461,6200,1.6,0.894,0.366,3500,Agriculture
광주_황룡강합류전,광주천2,2005-04-06,7.4,11.3,12.1,9.5,25.2,8.208,0.491,12,376,7000,4.75,2.522,0.156,2500,Agriculture
광주_황룡강합류전,광주천2,2005-04-26,9.4,20.9,19.3,8.3,20.4,5.316,0.499,24.5,312,6600,3.13,2.161,0.034,4100,Agriculture
광주_황룡강합류전,광주천2,2005-06-14,7.7,5.1,14.8,8.6,18.4,5.916,0.947,20.5,186,5600,0.03,5.854,0.713,2400,Agriculture
광주_황룡강합류전,광주천2,2005-06-27,7.4,4.1,4.1,8.8,6.4,7.956,0.9,26.3,479,820,0.07,2.678,0.425,190,Agriculture
광주_황룡강합류전,광주천2,2005-08-08,7,5.1,18.4,6.1,71.6,7.032,0.768,30.3,471,810,0.058,2.42,0.497,170,Agriculture
광주_황룡강합류전,광주천2,2005-08-29,8.4,8.2,9,7.3,26.8,8.988,0.103,28,220,800,0.099,2.131,0.06,2800,Agriculture
광주_황룡강합류전,광주천2,2005-10-13,9.1,8.3,12.4,5.4,30.4,8.76,0.638,23.8,507,10000,0.156,5.243,0.236,5000,Agriculture
광주_황룡강합류전,광주천2,2005-11-03,9.1,11.5,9,4.5,12,5.364,0.206,18.2,159,3100,0.044,2.493,0.191,2100,Agriculture
광주_황룡강합류전,광주천2,2005-12-08,7.6,7.5,10,5.3,2.8,6.792,0.474,6.5,215,3000,0.961,2.6,0.354,1800,Agriculture
광주_황룡강합류전,광주천2,2006-01-03,7.8,11.5,6.9,4.5,8,10.5,0.318,3.8,857,2000,0.06,5.864,0.246,1500,Agriculture
광주_황룡강합류전,광주천2,2006-01-25,7.5,10.3,9.7,3.6,9.6,6.408,0.457,5.3,394,3000,0.071,5.815,0.379,1800,Agriculture
광주_황룡강합류전,광주천2,2006-02-22,7.8,11.2,14.8,4.6,19.6,9.552,0.518,4,733,3000,0.033,7.087,0.389,1800,Agriculture
광주_황룡강합류전,광주천2,2006-03-27,8.6,9.9,12.7,6.1,12.4,8.118,0.317,16.1,161,2500,0.016,0.302,0.098,1500,Agriculture
광주_황룡강합류전,광주천2,2006-05-02,8.2,9.9,20.8,6.5,17.6,4.344,0.492,21.3,128,2800,0.032,3.597,0.329,530,Agriculture
광주_황룡강합류전,광주천2,2006-06-21,8.1,4.4,20.7,10.6,18.4,12.648,1.013,27.1,472,2400,0.02,1.259,0.836,450,Agriculture
광주_황룡강합류전,광주천2,2006-06-27,7.4,6.2,15.5,4.2,16,13.536,0.979,21.5,403,2560,0.013,10.299,0.852,1205,Agriculture
광주_황룡강합류전,광주천2,2006-08-11,9,12.2,28.5,9,50.8,12.108,0.886,32,351,145200,0.028,0.238,0.512,5300,Agriculture
광주_황룡강합류전,광주천2,2006-08-24,7.5,3,10,5.2,19.6,5.456,0.621,29,302,240000,0.002,4.208,0.47,19000,Agriculture
광주_황룡강합류전,광주천2,2006-09-22,8.2,8.1,14.9,7.3,20,3.601,0.234,24,230,58000,1.081,1.808,0.117,3400,Agriculture
광주_황룡강합류전,광주천2,2006-10-24,7.3,1.2,16.7,8.7,11.2,12.49,0.753,23,312,34000,0.007,1.808,0.007,4400,Agriculture
광주_황룡강합류전,광주천2,2006-12-14,7.8,6.8,5.2,4,8.4,5.461,0.337,8.2,248,34000,0,1.439,0.079,3600,Agriculture
광주_황룡강합류전,광주천2,2007-01-09,8.4,12.4,4.1,5.7,18,4.67,0.233,6,275,4500,0.497,2.92,0.119,1200,Agriculture
광주_황룡강합류전,광주천2,2007-02-13,7.9,9.4,20.3,7.9,22,7.339,0.482,9,289,13000,1.447,3.571,0.308,1400,Agriculture
광주_황룡강합류전,풍영정천,2007-03-08,7.6,7.9,2.3,3.5,171,3.327,0.097,7,219,50000,0.148,2.299,0,5000,Agriculture
광주_황룡강합류전,광주천2,2007-03-13,8.2,8,6.9,3.7,24,5.381,0.375,13,221,62000,0.032,5.224,0.276,2100,Agriculture
광주_황룡강합류전,풍영정천,2007-04-04,7.8,6.9,2.9,3.1,66,3.315,0.152,12,224,80000,0.194,1.986,0.115,8000,Agriculture
광주_황룡강합류전,광주천2,2007-04-05,7.8,9.5,9.7,10.2,25.6,5.304,0.431,14,282,4700,0.38,4.694,0.168,1100,Agriculture
광주_황룡강합류전,풍영정천,2007-05-03,8,6.7,5.9,6.7,28,3.828,0.175,18,223,50000,0.51,1.231,0.188,3000,Agriculture
광주_황룡강합류전,광주천2,2007-05-04,7.5,3.5,11.7,15.4,18,5.915,0.443,20,370,1000,2.957,0.809,0.194,1100,Agriculture
광주_황룡강합류전,광주천2,2007-06-07,9.3,13.8,15.9,11.6,73,2.858,0.317,26,306,74000,0.018,1.466,0.184,2700,Agriculture
광주_황룡강합류전,풍영정천,2007-06-07,7.7,5.2,4.9,9.6,76.5,3.512,0.185,23,199,30000,0.793,1.109,0.115,8000,Agriculture
광주_황룡강합류전,풍영정천,2007-07-06,7.5,6.7,3.4,4,117.3,7.012,0.369,24,281,30000,0.045,5.872,0,11000,Agriculture
광주_황룡강합류전,광주천2,2007-07-12,8.2,6.5,8.2,4,10.8,7.699,0.546,27,342,72000,0.014,1.637,0.315,6100,Agriculture
광주_황룡강합류전,풍영정천,2007-08-07,7.6,7.5,2.9,5,206,3.251,0.136,26,173,50000,0.014,1.325,0,50000,Agriculture
광주_황룡강합류전,광주천2,2007-08-16,7.7,4.9,6.7,6.2,5.2,6.238,0.463,28,228,81000,0.017,2.11,0.4,380,Agriculture
광주_황룡강합류전,광주천2,2007-08-23,7.9,2.1,9.4,10.4,4.4,9.405,0.878,31,313,94000,0.077,9.233,0.356,13000,Agriculture
광주_황룡강합류전,풍영정천,2007-09-11,7.7,7.3,4.1,3.6,50,2.752,0.084,22,155,50000,0.224,2.314,0,5000,Agriculture
광주_황룡강합류전,풍영정천,2007-10-09,8,8.1,3,5.2,26,2.402,0.099,18,154,300000,0.102,1.489,0,50000,Agriculture
광주_황룡강합류전,광주천2,2007-10-12,7.5,5.7,3.1,5.2,7.2,3.501,0.348,20,200,11000,0.584,2.423,0.264,900,Agriculture
광주_황룡강합류전,풍영정천,2007-11-06,8.1,9.5,3.6,6.4,19.6,3.287,0.119,15,183,80000,0.712,1.413,0,5000,Agriculture
광주_황룡강합류전,광주천2,2007-11-07,6.7,10.2,2.2,6,3.2,3.908,0.309,14,212,1300,0.015,3.792,0.262,220,Agriculture
광주_황룡강합류전,광주천2,2007-12-05,7.6,9.1,8,6,13.2,0.627,0.035,8,372,800,0.071,0.206,0.021,30,Agriculture
광주_황룡강합류전,풍영정천,2007-12-07,8.1,8.8,4.4,4.5,34,3.287,0.127,7,196,30000,1.152,1.515,0,8000,Agriculture
광주_황룡강합류전,광주천2,2008-01-10,7.5,9.1,4.5,9,8.4,5.866,0.42,7,221,7600,0.311,3.575,0.313,0,Agriculture
광주_황룡강합류전,풍영정천,2008-01-10,8.1,8.9,4.9,5.6,15.5,2.564,0.05,7,178,5000,0.774,2.405,0,3000,Agriculture
광주_황룡강합류전,풍영정천,2008-02-12,7.4,9.6,3.9,4.7,46.5,3.974,0.324,4,190,14000,0.548,1.814,0,7000,Agriculture
광주_황룡강합류전,광주천2,2008-02-22,8.4,15.2,9.9,9.8,2,7.318,0.33,7,333,18000,0.17,0.206,0.264,8600,Agriculture
광주_황룡강합류전,풍영정천,2008-03-10,7.6,8.9,5.9,4.2,18.8,3.314,0.156,12,233,24000,1.278,1.199,0,1700,Agriculture
광주_황룡강합류전,광주천2,2008-03-19,8.9,13.6,23.9,18.2,29.2,9.768,0.624,15,363,2600,1.164,2.132,0.356,10,Agriculture
광주_황룡강합류전,풍영정천,2008-04-04,8.2,9.1,2.7,9,9,3.129,0.223,22,235,30000,1.108,0.73,0.126,24000,Agriculture
광주_황룡강합류전,풍영정천,2008-04-04,7.9,7.4,9,5.6,16,3.734,0.257,12,322,80000,1.981,0.752,0,13000,Agriculture
광주_황룡강합류전,광주천2,2008-04-21,8.5,8,13.4,14.2,52,4.76,0.4,18,360,1600,0.59,1.887,0.15,0,Agriculture
광주_황룡강합류전,광주천2,2008-05-06,7.2,4.2,12.7,15.7,132,6.154,0.744,21,260,53000,2.897,0.186,0.209,0,Agriculture
광주_황룡강합류전,광주천2,2008-06-02,7.9,9.4,6,7.9,41.2,4.203,0.289,24,234,240000,0.215,2.547,0.203,120,Agriculture
광주_황룡강합류전,풍영정천,2008-06-02,8.1,8.6,1.5,4.1,19,1.002,0.131,25,154,79000,0.027,0.402,0,11000,Agriculture
광주_황룡강합류전,풍영정천,2008-06-02,8,7.7,6,6.3,28,2.347,0.087,22,188,50000,0,0.826,0,13000,Agriculture
광주_황룡강합류전,광주천2,2008-07-01,8,5.6,1.5,4.1,6.8,2.162,0.127,22,133,88000,0.078,1.841,0.107,0,Agriculture
광주_황룡강합류전,풍영정천,2008-07-02,7.2,7.1,2.8,4,5,2.514,0.082,22,163,24000,0.019,1.169,0,8000,Agriculture
광주_황룡강합류전,광주천2,2008-08-06,9.3,8.1,6.8,14.2,20.8,1.979,0.461,31,279,28000,0.179,0.691,0.115,0,Agriculture
광주_황룡강합류전,풍영정천,2008-08-06,7.9,8.3,2.2,3.1,6,1.142,0.11,26,152,130000,0.277,0.267,0,4900,Agriculture
광주_황룡강합류전,광주천2,2008-09-03,9,13.7,13.2,14.1,22,4.48,0.548,29,356,76000,0.007,0.369,0.448,150,Agriculture
광주_황룡강합류전,풍영정천,2008-10-02,8.1,7.7,6.1,4.3,3,3.03,0.202,22,207,490000,0.143,2.606,0.162,79000,Agriculture
