region,site,date,ph,do,bod,cod,ss,tn,tp,temp,ec,t.coli,nh3,no3,po4,f.coli,landuse
고양_공릉천상류,공릉천1,2001-03-05,7.5,12.3,3,3.7,2.4,4.229,0.03,5,171,22,0.371,1.455,0.017,11,Forest
고양_공릉천상류,공릉천1,2001-06-15,8.5,10.3,2.4,4.1,1.2,1.619,0.051,25,272,2200,0.034,1.196,0.015,1100,Forest
고양_공릉천상류,공릉천1,2001-09-07,7.8,7.5,1.6,3.7,1.2,9.253,0.038,22,243,17000,4.193,2.766,0.003,7900,Forest
고양_공릉천상류,공릉천1,2001-12-03,8.1,13.2,2.1,2.1,1.2,8.005,0.107,3,254,950,3.275,1.703,0.042,210,Forest
고양_공릉천상류,공릉천1,2002-03-11,8.5,9.4,1.9,4.5,0.8,3.816,0.346,4,289,22,1.587,4.201,0.173,11,Forest
고양_공릉천상류,공릉천1,2002-06-05,8.3,9.6,1.1,3.8,1.2,5.258,0.069,14,293,3300,2.21,1.703,0.039,1300,Forest
고양_공릉천상류,공릉천1,2002-09-04,7.3,9,0.7,2,2,3.266,0.053,21,351,950,1.144,1.711,0.027,210,Forest
고양_공릉천상류,공릉천1,2002-12-11,7.9,9.4,2.3,2.9,4.5,3.182,0.08,1,352,22,1.417,1.543,0.033,11,Forest
고양_공릉천상류,공릉천1,2003-03-06,7.6,9.8,2.1,3.3,1.5,4.045,0.028,4,366,700,0.928,2.501,0.016,170,Forest
고양_공릉천상류,공릉천1,2003-06-02,8.3,8.9,1.5,3.9,1.2,4.624,0.144,28,396,1700,0.165,2.228,0.074,490,Forest
고양_공릉천상류,공릉천1,2003-09-14,7.4,8.7,1,2.2,0.8,3.12,0.024,21,356,1700,0.944,1.922,0.009,270,Forest
고양_공릉천상류,공릉천1,2003-12-08,7.1,8.7,2.6,1.8,0.8,4.16,0.017,12,368,2800,0.443,2.785,0.009,390,Forest
고양_공릉천상류,공릉천1,2004-02-18,7.1,10,2.2,2.1,0.8,4.086,0.009,6,231,330,0.007,3.193,0.004,130,Forest
고양_공릉천상류,공릉천1,2004-03-10,7.7,11.4,1.9,1.3,2,2.907,0.033,9.8,240,330,0.969,1.58,0.022,130,Forest
고양_공릉천상류,공릉천1,2004-03-12,7.5,9.6,3.9,3.4,1.2,3.661,0.019,0,251,490,1.241,0.966,0.002,170,Forest
고양_공릉천상류,공릉천1,2004-03-30,7.7,9.6,3.1,4.7,4.4,3.887,0.044,9.7,236,2800,0.174,3.114,0.036,390,Forest
고양_공릉천상류,공릉천1,2004-05-14,7.8,13,1.2,2.2,6,3.759,0.07,18,172,1400,0.452,3.105,0.062,260,Forest
고양_공릉천상류,공릉천1,2004-06-03,8.1,8.3,0.9,3.5,6.8,3.579,0.165,22,217,4900,0.593,2.886,0.121,1700,Forest
고양_공릉천상류,공릉천1,2004-07-19,6.7,8.6,2.4,2.8,6.8,3.234,0.154,23.7,201,4900,0.587,2.131,0.121,1700,Forest
고양_공릉천상류,공릉천1,2004-08-13,7.5,9.5,2.2,4.1,6.2,4.044,0.06,30.7,320,1700,2.742,1.228,0.049,270,Forest
고양_공릉천상류,공릉천1,2004-09-03,9,12.5,0.8,3.2,7.8,3.33,0.137,25.1,240,330,2.567,0.692,0.127,130,Forest
고양_공릉천상류,공릉천1,2004-10-04,8.1,10.9,1.8,2.5,8,3.42,0.134,19.8,237,2200,2.573,0.771,0.122,330,Forest
고양_공릉천상류,공릉천1,2004-11-03,7.5,10.1,1.5,3.1,5,4.07,0.061,14.7,233,3300,2.571,1.401,0.053,780,Forest
고양_공릉천상류,공릉천1,2004-12-02,8.3,15.7,2,3.6,4.8,4.04,0.064,9.8,186,1700,2.524,1.351,0.051,270,Forest
고양_공릉천상류,공릉천1,2005-01-17,7.5,16.7,2.3,2.1,3.2,4.313,0.024,0.7,267,700,3.369,0.639,0.022,170,Forest
고양_공릉천상류,공릉천1,2005-02-19,7.9,14,3.4,3.6,2,4.074,0.039,1.7,275,180,0.347,3.388,0.016,32,Forest
고양_공릉천상류,공릉천1,2005-03-03,8.1,16.4,4.1,3.7,10,3.297,0.025,8.5,278,700,0.005,3.163,0.004,170,Forest
고양_공릉천상류,공릉천1,2005-04-08,8.3,12.7,2.9,4,11.2,2.606,0.061,13.1,280,50,0.098,2.277,0.013,17,Forest
고양_공릉천상류,공릉천1,2005-05-03,8,11.3,3,5.2,10.2,4.987,0.033,17.8,272,110,0.14,2.277,0.031,22,Forest
고양_공릉천상류,공릉천1,2005-06-13,9.2,13,1.9,5.2,10.2,0.989,0.023,27.4,245,700,0.013,0.664,0.014,22,Forest
고양_공릉천상류,공릉천1,2005-07-19,7.8,9.5,0.4,2.8,2.4,2.757,0.063,24.3,198,3400,0,2.574,0.059,1400,Forest
고양_공릉천상류,공릉천1,2005-08-22,7.9,11.3,1,2.4,1.2,3.285,0.141,23.1,182,1300,0.832,2.574,0.131,800,Forest
고양_공릉천상류,공릉천1,2005-09-07,8.7,13.3,0.4,2.4,0.8,1.95,0.057,22.4,211,280,0.03,1.846,0.049,140,Forest
고양_공릉천상류,공릉천1,2005-10-17,7.8,12.1,1.1,2.3,1.2,2.997,0.074,17.4,244,220,0.115,2.852,0.064,110,Forest
고양_공릉천상류,공릉천1,2005-11-09,7.6,13.3,2.1,2.4,1.8,3.221,0.05,12.8,231,170,0.003,3.072,0.042,70,Forest
고양_공릉천상류,공릉천1,2005-12-02,8,16.8,2.4,3.2,2.5,3.095,0.051,5.9,236,700,0.093,2.905,0.042,220,Forest
고양_공릉천상류,공릉천1,2006-01-20,7.1,16.3,2.3,2.9,1.4,3.656,0.052,2,247,330,0.079,3.032,0.044,170,Forest
고양_공릉천상류,공릉천1,2006-02-17,8,16.7,2.7,3.9,0.8,2.749,0.029,5.2,290,500,0.136,2.176,0,170,Forest
고양_공릉천상류,공릉천1,2006-03-02,8.3,14.2,4,3.9,3.4,2.884,0.014,12,277,700,0.015,2.657,0,220,Forest
고양_공릉천상류,공릉천1,2006-04-11,8,12.2,0.5,4,0.6,2.081,0.05,17.2,251,500,0.1,1.725,0.039,70,Forest
고양_공릉천상류,공릉천1,2006-05-16,8.1,7.3,1.2,1.9,0.7,2.48,0.045,21,248,500,0.054,2.304,0.02,220,Forest
고양_공릉천상류,공릉천1,2006-06-19,7.9,5.2,1,3.6,1,2.308,0.078,24,232,1300,0.041,2.079,0.076,270,Forest
고양_공릉천상류,공릉천1,2006-07-21,7.1,6.3,0.5,1.8,0.5,3.447,0.055,19.3,183,1700,0.03,2.989,0.008,330,Forest
고양_공릉천상류,공릉천1,2006-08-14,8.2,6,0.8,3.2,0.5,2.441,0,32,266,2200,0.04,2.152,0,300,Forest
고양_공릉천상류,공릉천1,2006-09-05,7.7,12.1,1,3.4,0.5,2.244,0.092,25,291,3000,0.082,1.809,0.086,340,Forest
고양_공릉천상류,공릉천1,2006-10-18,8.1,11.4,1.2,2.6,2.4,1.495,0.042,20.7,350,2800,0.134,1.265,0.039,260,Forest
고양_공릉천상류,공릉천1,2006-11-16,7.2,12.8,1,2.4,1.5,2.799,0.041,8,377,2200,0.114,2.58,0.038,330,Forest
고양_공릉천상류,공릉천1,2006-12-21,7.6,16.1,1.2,2.4,1.4,4.385,0.022,5.3,387,1700,0.87,3.442,0.019,270,Forest
고양_공릉천상류,공릉천1,2007-01-12,7.8,15.4,1.6,3,3.6,4.59,0.037,1.1,436,1600,0.05,4.455,0.022,140,Forest
고양_공릉천상류,공릉천1,2007-02-06,7.2,13.4,0.7,3,0.4,4.028,0.073,5.9,417,1700,0.066,3.864,0.067,800,Forest
고양_공릉천상류,공릉천1,2007-03-19,7.9,14.8,1.7,4.5,4.4,2.599,0.028,14.7,346,2200,0.009,2.267,0.002,270,Forest
고양_공릉천상류,공릉천1,2007-04-17,7.7,12.3,1.8,2.3,1.6,2.69,0.034,15.2,343,3500,0.089,1.638,0.002,340,Forest
고양_공릉천상류,공릉천1,2007-05-04,7.2,9.8,2,5.3,3.6,1.57,0.02,18,313,2200,0.022,0.989,0.011,220,Forest
고양_공릉천상류,공릉천1,2007-06-19,8.2,10.2,0.8,3.4,7.3,1.987,0.051,26,349,1700,0.068,1.886,0.009,340,Forest
고양_공릉천상류,공릉천1,2007-07-23,7.7,9.8,1.3,2.8,3.5,3.388,0.058,23,212,3800,0.044,3.331,0.046,330,Forest
고양_공릉천상류,공릉천1,2007-08-21,7.8,9.5,0.6,1.8,2.8,2.366,0.067,26,217,3500,0.031,2.325,0.03,500,Forest
고양_공릉천상류,공릉천1,2007-09-11,8,10.7,0.7,3.4,3.5,2.083,0.021,23,279,2200,0.019,1.993,0.015,270,Forest
고양_공릉천상류,공릉천1,2007-10-04,8.2,10.7,0.3,2.2,0.5,2.988,0.021,20,216,2800,0.031,2.622,0.006,210,Forest
