region,site,date,ph,do,bod,cod,ss,tn,tp,temp,ec,t.coli,nh3,no3,po4,f.coli,landuse
광주_광주천,광주천1,2001-03-14,7.1,13.3,1.6,5.1,4.4,2.918,0.36,10,250,2000,0.091,2.324,0.012,150,Urban
광주_광주천,광주천1,2001/06/31,7.7,10.9,3,7.3,16.4,3.986,0.118,26,200,2000,0.085,0.374,0.113,530,Urban
광주_광주천,광주천1,2001-09-30,8.5,13.3,3.4,4.9,9.2,2.086,0.078,29,200,1800,0.016,0.896,0.051,380,Urban
광주_광주천,광주천1,2001-12-07,8.1,13.2,1.6,5.1,2.8,8.143,0.023,9,318,880,0.785,3.913,0.016,180,Urban
광주_광주천,광주천1,2002-03-08,7.7,12.6,1.1,3,0.4,5.368,0.024,8,245,120,0.273,2.985,0.023,15,Urban
광주_광주천,광주천1,2002/06/31,8,9.2,1.9,2.3,1.2,2.413,0.137,22,300,180,0.085,0.673,0.097,110,Urban
광주_광주천,광주천1,2002-09-06,8.5,7.9,0.4,3.3,0.4,2.071,0.035,27,154,2300,0.138,1.956,0.02,1600,Urban
광주_광주천,광주천1,2002-12-06,7.9,12.8,0.8,2.8,1.2,1.38,0.052,8,105,400,0.324,0.988,0.03,120,Urban
광주_광주천,광주천1,2003-03-07,6.8,12.1,1,3.1,2.8,3.609,0.064,6,106,130,0.136,2.632,0.048,22,Urban
광주_광주천,광주천1,2003-05-02,7.3,9.2,0.7,3,3.2,3.048,0.057,21,133,340,0.952,2.295,0,40,Urban
광주_광주천,광주천1,2003-06-04,7.5,9.9,0.5,3.4,0.4,4.518,0.1,24,120,100,0.163,3.939,0.075,26,Urban
광주_광주천,광주천1,2003-09-01,7.8,8.8,0.9,2.6,2,2.292,0.074,25,140,170,0.023,2.1,0.044,300,Urban
광주_광주천,광주천1,2003-10-07,8.4,11.9,1.1,2.9,2,2.952,0.067,18,270,140,0.155,0.987,0.044,190,Urban
광주_광주천,광주천1,2003-11-03,8.8,12.9,1.3,1.6,1.2,3.504,0.074,15,264,360,0.167,0.756,0.044,390,Urban
광주_광주천,광주천1,2003-12-01,7.7,12.1,0.8,2.1,1.2,6.732,0.162,12,289,300,0.114,1.209,0.116,32,Urban
광주_광주천,광주천1,2004-03-02,7.4,11.3,0.9,2,1.2,3.006,0.601,6,222,250,0.082,1.056,0.103,25,Urban
광주_광주천,광주천1,2004-03-18,7.8,14.2,2.4,1.9,2,2.232,0.07,8,254,60,0.101,1.912,0.006,10,Urban
광주_광주천,광주천1,2004-04-08,7.9,9.5,1.1,3.1,0.8,2.358,0.065,16.5,243,800,0.03,0.902,0.04,70,Urban
광주_광주천,광주천1,2004-04-17,7.4,12.8,5.5,5.2,1.6,4.482,0.234,11,181,160,0.415,2.891,0.229,15,Urban
광주_광주천,광주천1,2004-04-29,7.8,11,1.7,3.2,12.8,7.404,0.118,21,174,1500,0.187,2.627,0.072,630,Urban
광주_광주천,광주천1,2004-06-03,8.3,13.2,2.2,5.6,18.8,2.388,0.082,27,174,700,0.231,0.969,0.059,320,Urban
광주_광주천,광주천1,2004-07-01,8.1,12.4,3.1,6.3,21.6,3.78,0.115,30,282,1800,0.108,1.618,0.098,620,Urban
광주_광주천,광주천1,2004-07-28,8.1,13.4,1.8,3.7,6,1.506,0.127,34,268,900,0.04,1.146,0.112,340,Urban
광주_광주천,광주천1,2004-09-02,8.6,10.8,1.3,1.6,3.2,4.404,0.094,27.5,225,1300,0.184,2.159,0.064,360,Urban
광주_광주천,광주천1,2004-10-12,7.3,7.6,0.5,3.2,1.6,5.178,0.082,18,196,7900,0.335,3.282,0.069,1700,Urban
광주_광주천,광주천1,2004-10-25,7.1,9.8,0.9,2.4,0.4,2.19,0.112,16,242,1200,0.24,1.454,0.051,280,Urban
광주_광주천,광주천1,2004-12-14,7.8,15.3,1.2,2.3,0.4,4.296,0.094,11,210,1200,0.028,0.479,0.051,280,Urban
광주_광주천,광주천1,2005-01-03,7.7,12.5,0.5,3.1,0.8,3.074,0.276,7,253,2800,0.039,1.357,0.007,280,Urban
광주_광주천,광주천1,2005-01-26,7.4,13.2,0.8,3.6,1.2,3.523,0.228,4,231,1900,0.059,1.38,0.039,420,Urban
광주_광주천,광주천1,2005-03-14,8.1,13.4,0.8,2.8,0.8,2.451,0.051,8,240,1500,0.109,2.242,0.036,560,Urban
광주_광주천,광주천1,2005-03-31,8.2,12.7,0.5,2.5,2.8,5.818,0.151,13,179,3200,0.106,3.012,0.023,420,Urban
광주_광주천,광주천1,2005-04-27,8.7,10.6,1.6,3.6,4,2.138,0.104,23,180,1900,0.725,1.263,0.055,320,Urban
광주_광주천,광주천1,2005-06-02,7.6,6.2,2.7,4.2,37.2,3.881,0.194,21,151,1900,0.026,3.273,0.101,320,Urban
광주_광주천,광주천1,2005-07-01,7.2,6.3,8,12.3,86.8,4.092,0.916,21,134,4600,0.025,1.486,0.085,3000,Urban
광주_광주천,광주천1,2005-08-09,8.7,4.5,1.7,3.9,6.8,2.035,0.824,30.7,160,4500,0.004,1.181,0.092,2900,Urban
광주_광주천,광주천1,2005-09-02,7.5,6.5,0.9,4.1,3,3.758,0.103,27.1,220,46000,0.099,2.131,0.06,2800,Urban
광주_광주천,광주천1,2005-09-27,7.3,9.4,0.8,3,17,1.284,0.104,22.4,243,8000,0.104,1.082,0.041,1500,Urban
광주_광주천,광주천1,2005-11-03,8.3,10.4,0.7,1,0.4,0.714,0.052,15.2,147,1000,0.012,0.458,0.03,200,Urban
광주_광주천,광주천1,2005-12-08,7.8,11.1,0.5,1,0.4,1.134,0.023,6.2,118,1000,0.049,0.89,0.016,150,Urban
광주_광주천,광주천1,2006-01-03,8,11.2,0.1,2,6,1.376,0.031,2.7,577,3000,0.077,0.654,0.011,100,Urban
광주_광주천,광주천1,2006-01-25,7.8,14.1,3.1,2.1,1.2,1.398,0.018,3,213,1000,0.027,1.209,0.012,150,Urban
광주_광주천,광주천1,2006-02-22,8,11.3,1.2,1.7,0,3.317,0.032,3,432,1000,0.019,2.746,0,150,Urban
광주_광주천,광주천1,2006-03-27,8.3,11.6,1,1.8,1.2,2.65,0.038,13.2,221,800,0.016,1.594,0.009,450,Urban
광주_광주천,광주천1,2006-05-02,8.3,10.8,1.8,2.5,3.6,2.023,0.082,17.6,165,1150,0.033,1.715,0.039,345,Urban
광주_광주천,광주천1,2006-05-29,9.2,9.1,1,2.2,4.8,3.554,0.073,24.3,212,1750,0,0.545,0.041,295,Urban
광주_광주천,광주천1,2006-06-27,6.9,10.6,0.1,1.2,4,3.826,0.058,18.6,155,2150,0.01,2.975,0.025,1060,Urban
광주_광주천,광주천1,2006-08-11,9.3,10.8,1.2,5.2,5.6,3.701,0.124,29.5,252,700,0.004,0.399,0.081,1300,Urban
광주_광주천,광주천1,2006-08-24,8.6,7.5,0.5,2.8,2,2.738,0.086,26,174,86000,0.008,1.619,0.077,6200,Urban
광주_광주천,광주천1,2006-09-22,9.3,8.5,1.7,1.6,1.6,1.885,0.031,26,200,6800,0.004,0.787,0.001,12000,Urban
광주_광주천,광주천1,2006-10-24,8,10.9,0.5,2.1,0.4,2.071,0.022,19,168,41000,0.006,0.787,0.007,4400,Urban
광주_광주천,광주천1,2006-12-14,8.1,9.8,0.5,1.8,0.4,2.752,0.039,7.2,85,4100,0,2.137,0.011,4400,Urban
광주_광주천,광주천1,2007-01-09,8,12.4,1.2,1.5,0.4,2.43,0.137,3,201,2500,0.012,2.217,0.008,100,Urban
광주_광주천,광주천1,2007-02-13,8.1,9.4,0.7,2.2,0.4,3.552,0.054,7,179,33000,0.028,3.2,0.032,420,Urban
광주_광주천,광주천1,2007-03-13,8.6,10.9,0.5,1.7,5.6,6.048,0.035,12,147,20000,0.003,4.799,0.031,1100,Urban
광주_광주천,광주천1,2007-04-05,9.1,11.2,0.7,1.7,1.2,3.295,0.028,12,172,48000,0.038,3.137,0.011,620,Urban
광주_광주천,광주천1,2007-05-03,8.9,10,0.7,2.1,5.6,1.915,0.023,17,190,1000,0.017,1.502,0.01,180,Urban
광주_광주천,광주천1,2007-06-07,8,9.9,1,3.5,7.2,0.979,0.014,23,299,83000,0.023,0.744,0.006,560,Urban
광주_광주천,광주천1,2007-06-20,7.8,8.5,0.8,6.7,1.2,0.791,0.018,21,110,40000,0.043,0.436,0.012,1600,Urban
광주_광주천,광주천1,2007-08-02,8.8,7.1,1,3.7,5.6,0.985,0.085,32,263,4200,0.067,0.418,0.078,120,Urban
광주_광주천,광주천1,2007-08-23,6.8,7.1,0.9,0.6,2,2.051,0.077,24,84,21000,0.02,1.811,0.047,1700,Urban
광주_광주천,광주천1,2007-10-12,8.8,11.8,1.6,3.1,1.6,2.875,0.131,19,146,3000,0.132,2.578,0.103,660,Urban
