site,Y,X,m/t
초이천,37.543292,127.176255,지
망월천,37.569974,127.17496,지
고덕천,37.570086,127.158596,지
암사,37.571556,127.139944,본
구의,37.544757,127.112983,본
잠실,37.52445,127.091482,본
감이천,37.51415,127.142472,지
성내천,37.523807,127.104148,지
양재천,37.473545,127.030319,지
양재천,37.497637,127.07383,지
탄천5,37.510034,127.068596,지
뚝도,37.537141,127.034914,본
중랑천1A(중랑A),37.686318,127.051208,지
중랑천2,37.678928,127.050989,지
우이천,37.614386,127.06684,지
중랑천3,37.580688,127.077359,지
청계천1,37.569076,126.979262,지
청계천2,37.5698,127.030277,지
정릉천,37.572307,127.035446,지
성북천,37.570843,127.02773,지
청계천3,37.553717,127.051102,지
중랑천4,37.552931,127.043748,지
보광,37.527296,127.012894,본
노량진,37.51657,126.958011,본
영등포,37.55295,126.891504,본
홍제천,37.56213,126.899421,지
목감천,37.492607,126.866291,지
안양천3-2(안양A2),37.492118,126.870632,지
목감천-1(안양A6),37.492179,126.870644,지
안양천4(안양A),37.508409,126.873564,지
도림천,37.486906,126.912155,지
안양천5,37.547802,126.880752,지
가양,37.570559,126.858813,본
