yy,mm,dd,site,ph,do,bod,cod,ss,tn,tp,toc,t.coli,cd,cn,pb,cr6+,as,hg,chla,f.coli,abs,sb
1994,1,5,구의,8.2,12.7,1.9,3,6.5,1.506,0,,280,,,,,,,,,,
1994,1,5,보광,7.7,12.5,3.9,4.7,9.5,3.391,0.18,,1600,,,,,,,,,,
1994,1,5,암사,8,12,1.8,3.4,6,1.659,0,,280,,,,,,,,,,
1994,1,5,영등포,7.4,9.3,3.9,3.8,6,4.071,0.186,,16000,,,,,,,,,,
1994,1,6,안양천4,7.4,3.6,18.8,24.6,52,10.986,1.185,,110000,,,,,,,,,,
1994,1,6,안양천5,7.3,1.6,18.4,24.8,24,12.334,1.066,,220000,,,,,,,,,,
1994,1,7,고덕천,7.8,12,25.4,22,11,8.249,0.084,,26000,,,,,,,,,,
1994,1,7,도림천,7.6,10.3,14.5,12.2,3,6.293,0.193,,60000,,,,,,,,,,
1994,1,7,목감천,7.6,5.8,46.6,35.6,33,8.73,0.175,,220000,,,,,,,,,,
1994,1,7,양재천,7.9,14.5,13.4,13.2,11,6.126,0.033,,2600,,,,,,,,,,
1994,1,7,정릉천,7.7,6.8,43.6,28.1,36,8.422,0.705,,300000,,,,,,,,,,
1994,1,7,홍제천,7.6,9.6,21.3,11.6,7,5.982,0.192,,14000,,,,,,,,,,
1994,1,8,잠실,7.4,11.9,2.2,2.8,6,3.261,0.116,,280,,,,,,,,,,
1994,1,10,가양,7.5,9,4.9,6,10.5,4.57,0.229,,3400,0,0,0,0,0,0,,,0,
1994,1,10,노량진,7.5,11.1,3.9,5.4,9.8,4.115,0.207,,11000,0,0,0,0,0,0,,,0,
1994,1,10,중랑천4,7.2,6.9,28.3,12.6,28,7.934,0.896,,300000,,,,,,,,,,
1994,1,10,탄천5,7.2,5.5,16.7,10.1,25,10.311,1.038,,130000,,,,,,,,,,
1994,1,11,중랑천2,7.6,7.6,13.1,10,89,8.753,0.782,,170000,,,,,,,,,,
1994,1,11,중랑천3,7.8,11.6,11.3,10.3,15,9.37,0.775,,27000,,,,,,,,,,
1994,2,1,안양천5,7.3,2.8,28,33,13,11.712,1.566,,140000,,,,,,,,,,
1994,2,2,구의,8.8,14.1,2.1,3.3,8.2,1.554,0.062,,700,,,,,,,,,,
1994,2,2,보광,7.9,13.4,4,5.2,9.5,3.134,0.225,,9000,,,,,,,,,,
1994,2,2,암사,8.8,14.7,2,3.4,8,1.637,0.059,,300,,,,,,,,,,
1994,2,2,영등포,7.6,11.7,3.2,5,8,3.434,0.229,,16000,,,,,,,,,,
1994,2,2,탄천5,7.3,7.2,16.1,14.5,25,10.082,0.964,,220000,,,,,,,,,,
1994,2,3,고덕천,7.5,11.4,41.5,34,28,10.212,0.208,,30000,,,,,,,,,,
1994,2,3,도림천,7.7,12,8.5,13.2,9,10.112,0.416,,11000,,,,,,,,,,
1994,2,3,목감천,7.4,7.1,87,56.7,62,13.233,0.227,,400000,,,,,,,,,,
1994,2,3,양재천,7.9,13.1,33.2,32.3,20,11.422,0.166,,4000,,,,,,,,,,
1994,2,3,잠실,8.3,13,2.1,2.6,3.5,3.069,0.1,,310,,,,,,,,,,
1994,2,3,정릉천,7.2,6.3,83.4,54.1,53,11.74,0.534,,170000,,,,,,,,,,
1994,2,3,홍제천,7.4,7.9,43.4,48.9,34,12.782,0.18,,130000,,,,,,,,,,
1994,2,7,가양,7.5,10.3,5.1,7,12.4,3.714,0.302,,4100,0,0,0,0,0,0,,,0.1,
1994,2,7,노량진,7.5,11.7,4.2,6.4,9.1,3.257,0.262,,4800,0,0,0,0,0,0,,,0.1,
1994,2,8,중랑천2,7.6,8.2,19,14.5,25,9.441,1.122,,130000,,,,,,,,,,
1994,2,8,중랑천3,7.8,10.1,19,14,11,8.951,1.108,,17000,,,,,,,,,,
1994,2,8,중랑천4,7.3,7.2,31,13.9,22,9.082,0.923,,220000,,,,,,,,,,
1994,2,15,안양천4,7.3,5.4,30.2,24,27,9.589,1.199,,80000,,,,,,,,,,
1994,3,2,보광,7.7,11.5,4.2,6.1,13,4.096,0.29,,9000,0,0,0,0,0,0,,,0,
1994,3,2,영등포,7.4,7.9,3.4,8.3,11,5.304,0.221,,2200,0,0,0,0,0,0,,,0,
1994,3,3,구의,8.2,14,1.7,4,6,2.15,0.038,,300,0,0,0,0,0,0,,,0,
1994,3,3,암사,8.1,14.1,2,3.9,4,1.435,0.033,,300,0,0,0,0,0,0,,,0,
1994,3,4,안양천4,7.4,2.5,33.3,30.1,40,10.488,1.128,,3000000,0,0,0,0,0,0,,,0,
1994,3,4,안양천5,7.4,1.4,23.8,34.7,25,9.504,0.585,,900000,0,0,0,0,0,0,,,1.4,
1994,3,4,탄천5,7.2,3.8,19.7,23.1,38,8.016,0.528,,170000,0.003,0,0.03,0,0.007,0,,,0.4,
1994,3,7,가양,7.3,7.2,6.2,8.2,12.4,6.193,0.294,,48000,0,0,0,0,0,0,,,0.1,
1994,3,7,노량진,7.5,9.4,4,6.2,9,4.456,0.238,,14000,0,0,0,0,0,0,,,0.1,
1994,3,7,중랑천2,7.7,7.1,20.4,17.1,50.5,11.112,1.161,,33000,0,0,0,0,0,0,,,0.1,
1994,3,7,중랑천3,8.2,8.7,14.7,17.3,13,9.96,0.934,,30000,0,0,0,0,0,0,,,0.5,
1994,3,7,중랑천4,7.2,5.2,28.9,18.5,21,11.352,1.171,,900000,0,0,0,0,0.005,0,,,0.4,
1994,3,8,잠실,8,11,2.2,2.6,6.5,4.502,0.262,,540,0,0,0,0,0,0,,,0.5,
1994,3,10,고덕천,8.6,13.4,20.6,15.5,15,9.48,0.246,,40000,0,0,0.06,0,0,0,,,0.4,
1994,3,10,도림천,7.6,8.9,35.3,14.6,15,9.907,0.536,,110000,0,0,0.03,0,0,0,,,0.1,
1994,3,10,목감천,7.6,7.6,118.8,55.4,60,13.116,0.822,,280000,0,0,0.04,0,0,0,,,0.9,
1994,3,10,양재천,7.8,11.6,42.9,33.1,37,10.232,0.235,,4000,0,0,0.04,0,0,0,,,0.4,
1994,3,10,정릉천,7.6,10,10.6,10.2,7,10.071,0.114,,14000,0,0,0.04,0,0,0,,,0.1,
1994,3,10,홍제천,7.5,10.4,68.2,28.3,26,11.805,0.072,,50000,0,0,0.02,0,0,0,,,0.9,
1994,4,4,구의,8.2,12.9,3.2,3.7,8,2.203,0.032,,300,,,,,,,,,,
1994,4,4,보광,7.7,10.8,4.3,5.2,13.6,4.637,0.205,,5000,,,,,,,,,,
1994,4,4,암사,8.3,13.8,3.2,4.1,7,1.752,0.053,,300,,,,,,,,,,
1994,4,4,영등포,7.7,10.1,4,5.3,6.5,3.384,0.149,,30000,,,,,,,,,,
1994,4,6,안양천4,7.3,3.4,29.3,22.1,31,13.776,1.321,,9000000,,,,,,,,,,
1994,4,6,안양천5,7.4,6.6,30.2,22.4,14,13.152,1.381,,9000000,,,,,,,,,,
1994,4,7,고덕천,8.3,6.6,78,23.9,34,12.387,0.38,,5000000,,,,,,,,,,
1994,4,7,도림천,7.4,3.6,38.4,12.8,14,11.047,0.942,,900000,,,,,,,,,,
1994,4,7,목감천,7.4,1.2,79.2,48.8,61,15.373,0.286,,2400000,,,,,,,,,,
1994,4,7,양재천,8.5,14,47.2,11.9,17,10.238,0.204,,240000,,,,,,,,,,
1994,4,7,정릉천,7.3,3.8,16,12.1,14,10.381,0.172,,21000,,,,,,,,,,
1994,4,7,홍제천,8.3,17.5,47.4,24.3,37,12.254,0.235,,1300000,,,,,,,,,,
1994,4,11,가양,7.6,5.8,4.5,6.4,9,4.044,0.232,,21000,0,0,0,0,0,0,,,0,
1994,4,11,노량진,7.7,7.9,4.6,5.8,8.4,3.486,0.189,,38000,0,0,0,0,0,0,,,0,
1994,4,11,중랑천4,7.2,3.7,27.2,24.4,26,2.083,0.956,,1700000,,,,,,,,,,
